fetched_at_utc,date,name,ticker,close,change_pct,volume
2026-05-05T22:24:41+00:00,2026-05-05,SP500,^GSPC,7259.2202,0.812,3197863000
2026-05-05T22:24:41+00:00,2026-05-04,CAC40,^FCHI,7976.1201,-1.709,67708500
2026-05-05T22:24:41+00:00,2026-05-01,NIKKEI,^N225,59513.1211,0.385,150700000
2026-05-05T22:24:41+00:00,2026-05-04,EUROSTOXX50,^STOXX50E,5763.6099,-2.005,23044900
2026-05-05T22:24:41+00:00,2026-05-05,FTSE100,^FTSE,10219.1104,-1.397,0
2026-05-05T23:25:40+00:00,2026-05-05,SP500,^GSPC,7259.2202,0.812,3197863000
2026-05-05T23:25:40+00:00,2026-05-04,CAC40,^FCHI,7976.1201,-1.709,67708500
2026-05-05T23:25:40+00:00,2026-05-01,NIKKEI,^N225,59513.1211,0.385,150700000
2026-05-05T23:25:40+00:00,2026-05-04,EUROSTOXX50,^STOXX50E,5763.6099,-2.005,23044900
2026-05-05T23:25:40+00:00,2026-05-01,FTSE100,^FTSE,10363.9004,-0.144,857577100
2026-05-06T23:11:21+00:00,2026-05-06,SP500,^GSPC,7365.1201,1.459,3841722000
2026-05-06T23:11:21+00:00,2026-05-05,CAC40,^FCHI,8062.3101,1.081,58808400
2026-05-06T23:11:21+00:00,2026-05-01,NIKKEI,^N225,59513.1211,0.385,150700000
2026-05-06T23:11:21+00:00,2026-05-05,EUROSTOXX50,^STOXX50E,5869.6299,1.839,20145700
2026-05-06T23:11:21+00:00,2026-05-05,FTSE100,^FTSE,10219.0996,-1.397,1130541900
